title,date,rating,review,isEdited,userName
ค่าส่งแพง,2021-01-04 05:20:57,2,แต่ก่อนส่งฟรี เดี๋ยวนี้เสียค่าส่งแพงเวอร์,FALSE,เตออ
เป็นอะไรก่อน,2021-01-03 07:43:30,1,"งงมาก ด้านหน้าเขียนส่งฟรี พอจะกดสั่ง สรุปมีค่าส่ง งงมาก จกตา ละบางร้านเขียนว่าลดราคา แต่พอไปหน้ากดสั่งคือราคาเต็มเท่าเดิม อะไร จกตาลูกค้ามาก ไม่ไหวนะ
อยากไม่ให้ซักดาวเลยค่ะเอาตามตรง",FALSE,ดจกย
การจัดส่ง,2020-11-20 12:52:33,5,"บริหารดีพนักงานส่งอาหารรวดเร้ว
พูดจาสุภาพ",FALSE,พรร
Searchหาเมนูแล้วขึ้นมามั่วๆ,2020-12-27 05:11:28,1,ค้นมั่ว,FALSE,wtfghgh
No more foodpanda,2020-12-26 07:58:40,1,เป็นแอปสั่งอาหารที่โง่มากค่ะ search หาร้านอาหารอะไรไม่เคยขึ้นตรงตามที่ค้นหาเลย หาร้านที่จะทานไม่มีเลย????? หาร้านอาหารเกาหลีแต่ได้ร้านอาหารไทย???? ถ้ามีให้ rate 0 star ก็จะเลือกอันนั้นค่ะ,FALSE,hnymwy
พนักงานส่ง,2020-11-21 11:49:16,2,พนักงานส่งแย่มาก พูดไม่สุภาพ,FALSE,แพนด้า999
Ansvdkn,2020-09-02 04:11:46,5,ในแอพช่วงนี้ ส่งข้อความแจ้งไรเดอร์ไม่ได้เลยค่ะ ไม่ทราบว่าเป็นที่ระบบหรือว่าอย่างไร,FALSE,nsodg
ห่วยแตก อย่าใช้บริการ!!!,2020-09-09 06:13:21,1,โดนขับส่งอาหารยกเลิกออเดอร์ แถมไม่คืนเงิน ไม่สนับสนุนอีกต่อไป,FALSE,Suikfda
ออเดอร์โดนยกเลิก /ช้ามาก,2020-09-04 07:40:20,1,คือสั่งไปโดนยกเลิกบ่อยมาก แล้วคือให้รอมา20นาที แต่สุดท้ายโดนยกเลิก ไม่เข้าใจเลย ให้รอทำไม จะยกเลิกทำไมไม่รีบๆอะ จะได้สั่งร้านอื่นกิน แล้วอีกอย่างคือตอนแรกที่สั่งขึ้น 30นาทีก็ว่ารอได้ แต่พอเวลารันไปเหลืออีกประมาณ 10นาที ก็อต้งเตือนว่าออเดอร์เลท คือทำไมเพิ่งแจ้งตอนผ่านมาแล้ว20นาที ถ้ารู้ว่าช้าแบบนี้ไม่สั่งค่ะ อารมณ์เสีย โมโหหิวค่ะ ห่วยแตกมาก,FALSE,พจนาถ
อัพเดทใหม่บัค,2020-08-28 05:37:44,5,อัพเดทเวอร์ชั่นล่าสุดกดส่งข้อความไรเดอร์ไม่ได้,FALSE,Ballook
เมนูอาหาร,2020-08-23 13:27:37,3,ไม่มีรูปอาหาร ตัดสินใจสั่งซื้อยาก,FALSE,kknk.ch
มีปัญหาแอปพลิเคชั่น,2020-08-27 16:09:16,1,แอปโครตห่วยเลยครับ รูปแบบการสั่ง แพทเทิร์นต่างๆ ทำมาไม่ตอบสนองการใช้งานของผู้ใช้งาน ไม่ตอบสนองความต้องการอะไรง่ายๆหรือที่ต้องการความสะดวก โปรโมชั่นหนือว่าโค้ดส่งนลดต่างๆก็ไม่มีการประกาศอย่างละเอียด อีกอย่าง ไรเดอร์จะตายเอานะครับถ้ายังไม่ปรับปรุงระบบ แล้วจะไม่มีคนเหลือขับให้แอปนี้นะครับ,FALSE,nflspsorijrbbcjcyq
ส่งข้อความหาไรด์เดอร์ไม่ได้,2020-08-27 10:42:36,1,พึ่งอัพเดท version และพบว่าส่งข้อความหาไรด์เดอร์ไม่ได้ รบกวนแก้ไขด้วยค่ะ,FALSE,Dutchmewms
ปัญหาแอพ,2020-08-23 10:12:54,1,"แอพมีปัญหาบ่อยมาก ทั้งๆที่เราก็ใส่ชื่อถนนอะไรไปครบแล้ว แต่แอพมันกลับแจ้งเตือนว่า ""ชื่อถนนไม่สามารถเว้นว่างได้"" เป็นบ่อยมาก ให้ลบแอพแล้วโหลดใหม่แทบจะทุกครั้งแบบนี้ก็ไม่ไหวนะครับ",FALSE,bxbdksks
ตามนี้ครับ,2020-08-20 19:11:00,1,#แบนเนชั่น,FALSE,บาฟาโล
ไม่สนับสนุนแบรนด์ที่สนับสนุนช่องเนชั่นค่ะ บ๊ายบาย,2020-08-20 15:13:41,1,ประชาธิปไตยจงเจริญ ช่องสลิ่มจงพินาศ,FALSE,ป้อมน้อยซอยยิกๆ
ช้า,2019-11-06 07:25:39,5,ถ้าไม่ส่งฟรีคงไม่สั่ง,FALSE,jdjbchdb
งดใช้ค่ะ,2020-08-20 12:15:19,1,เห็นว่าแอพนี้เป็นสปอนเซอร์ช่อง Nation ขออนุญาตเลือกตัวเลือกอื่นแทนนะคะ ขอบคุณค่ะ,FALSE,BORBESTt
สนับสนุนเนชั่นช่องข่าวบิดเบือน,2020-08-20 11:54:52,1,ขอลบทิ้งนะคะ สนับสนุนเนชั่น บายจ้า,FALSE,ลูกค้าที่ใช้งานตลอด
ปักหมุดไม่ได้,2020-08-17 11:02:04,4,ทำถึงขึ้นว่าไม่มีตำบลและถนนเวลาแก้ไขที่อยู่และกดบันทึก,FALSE,ชิงชัง
ถนนที่ไม่มีถนน,2020-08-17 08:24:22,1,ห่วยแตกมากค่ะ บอกให้กรอกชื่อถนน แต่ไม่มีที่ให้กรอก มุดก็ปักไปแล้ว,FALSE,จีมี
หน้าเลือดมาก,2020-07-24 23:20:32,1,คิดส่วนต่างทั้งๆทีเมื่อก่อนไม่มีแถมเลยเก็บค่าส่งข้าวราคา50บาทต้องจ่าย79งงมากแม่บายจ้าาาาา,FALSE,คนที่ชอบเล่นเกม
แพง,2020-07-24 06:39:26,2,มีค่าส่งมาอีก ราคาปกติก็แพงกว่าหน้าร้านอยู่แล้ว,FALSE,แพง มีค่าส่งทำไม
ที่อยู่เพี้ยน,2020-07-22 11:13:08,3,ปักหมุดที่อยู่ไม่ได้ ส่วนหมุดที่ระบบปักให้ก็ไม่ตรง,FALSE,Panda_JT
แย่,2020-07-08 06:39:25,1,แอพแย่ help center ก็ตอบแย่ รออาหารนานกว่าที่กำหนดและไม่รับผิดชอบ จะยกเลิกก็ไม่ให้ จะร้องเรียนร้านค้าที่อาหารทาง help center ปิดแชทจบบทสนาโดนที่ไม่ยอมรับฟังความต้องการของลูกค้า,FALSE,noinanoina
IOS พิกัดไม่ตรง เปลี่ยนแล้วบันทึกไม่ได้,2020-05-11 01:24:36,1,พิกัดในแอฟไม่ตรง พอเปลี่ยนให้ตรงไม่มีให้กดบันทึก ในแอฟย้ายไปจุดที่ไม่ตรงทุกครั้ง เลยไม่ได้สั่งอาหาร,FALSE,LO$O••
แก้ไขปัญหานี้หน่อย,2020-04-28 08:38:29,4,เปลี่ยนเบอร์โทรศัพท์ไม่ได้ เซ็งมากครับ,FALSE,farmsp7
