review,rating,isEdited,title,date,userName
ค่าส่งแพงมาก ขนาดใกล้ๆ ไปค่ะ ลบทิ้งเลิกใช้,1,FALSE,ค่าส่งแพง,10/3/2021 13:46,mangkapurn
พนักงานพูดจาดีมากค่ะ มารยาทดี ไปลามาไหว้ เพิ่งเคยเห็น ประทับใจค่ะ,5,FALSE,ประทับใจการจัดส่ง,10/3/2021 12:28,แม่น้องปอปลา
รวดเร็วทันใจ,5,FALSE,บริการ,10/3/2021 12:25,Puithanu
ให้10 คะแนนเต็มค่า,5,FALSE,คนขับมารยาทดีมากๆ,10/3/2021 9:36,amenala
ประทับใจค่ะ เรื่องจัดส่งไม่ต้องโทรถามถึงที่เลยค่ะ,5,FALSE,การส่ง,10/3/2021 8:44,ลูกตาลลลล
พนักงานส่งอาหารมรรยาทดีมากครับ,5,FALSE,พนักงานดี,10/3/2021 8:29,เอ๋อ๊อฟ
แป้งนุ่ม อร่อย ชอบกินมาก,5,FALSE,ร้านนี้กินเป็นประจำ อร่อยมาก,10/3/2021 3:58,EuE21
สั่งอาหารโปรโมชั่นซื้อ 1 แถม 1 ได้อาหารมาไม่ครบได้มาแค่ชุดเดียว ติดต่อทางเมลแจ้งปัญหาก็ทำได้แค่ส่งอีเมล ไม่มีการติดตาม ติดต่อกลับใด ๆ,1,FALSE,แย่ค่ะ ได้สินค้ามาก็ไม่คาบไม่มีการติดต่อกลับ,10/3/2021 7:47,งงงวยงงงวยย
พนักงานบริการดีมาก ส่วนร้านทำช้ามาก,5,FALSE,บริการ,9/3/2021 16:03,ขสั
การเติมเงินควรปรับอัตราขั้นต่ำในการเติมจากเดิม300เป็น100บาท,4,FALSE,การเติมเงิน Rabbit Line pay,10/3/2021 2:50,Noname Line Man
อร่อยมากค่ะส่งไวมาก,5,FALSE,ยำ,9/3/2021 12:48,Ann An An
ยกเลิกออเดอร์ครั้งแรกเจ้าหน้าที่ให้คำแนะนำดีค่ะ ทั้งเจ้าหน้าที่คนขับและCustomer service,5,FALSE,ยกเลิกออเดอร์,9/3/2021 12:15,Noey_NN
เยี่ยม,5,FALSE,ไรเดอร์บริการดี สุภาพ รวดเร็ว,9/3/2021 7:41,ตาลตะวัน
"พนง.ส่งใส่แมส จัดส่งรวดเร็ว พูดจาสุภาพ
ขอให้รักษามาตรฐานแบบนี้ตลอดไปนะคะ",5,FALSE,แนะนำเพื่อบริการที่ดีขึ้น,9/3/2021 6:41,garena1412
มีส่งฟรีดีมากๆ,5,FALSE,แอพโคตรดี,9/3/2021 4:42,ดนุวัฒน์
จัดส่งเร็ว คนขับสุภาพ,5,FALSE,ความคิดเห็น,8/3/2021 12:17,ลูกตาลซ่า
พิมพ์ร้านเพื่อค้นหาตำแหน่งในแผนที่ไม่นะครับ ปรับปรุงแอฟด่วนครับ,1,FALSE,ค้นหาตำแหน่งในแผนที่,9/3/2021 2:26,Red Prelude
ไม่ให้โชยุ,5,FALSE,สั่งซุชิไป10ชิ้น ไม่ให้โชยุ,8/3/2021 10:38,Tahwannnnn
ขับรถไม่คำนึงถึงคนร่วมใช้ถนน ชอบปาด มีช่องนิดนึงก็ปาดแถม ขับรถแย่อันตรายกับคนอื่น รู้ว่ารีบแต่ช่วยห่วงชีวิตคนอื่นบ้าง ตัวเองไม่กลัวตายใช่ว่าคนอื่นจะอยากตายด้วยนะ มีการขับตามมาด่าคนอื่นด้วย เป็นพฤติกรรมที่น่ากลัวมาก ทั้งๆที่ตัวเองเเซงซ้ายขึ้นมาเราหลบรถทางขวาทำให้เบียดกัน,1,FALSE,คนส่งอาหารขี่รถเเย่มาก,8/3/2021 10:43,mummee!!!
บริการดีมาก,5,FALSE,บริการดี ขับส่งสุภาพ พูดจาดีมาก ถูกใจค่ะ,8/3/2021 7:43,ปุ๊ก เมกาโฮมโรจนะ
รวดเร็ว,5,FALSE,บริการดีคะ,8/3/2021 6:09,เบียร์นะค่ะ
พนักงานสุภาพและบริการดีมากค่ะ,5,FALSE,ชื่นชมพนักงาน,8/3/2021 5:04,Wanwisa.kh
สะดวกดี รวดเร็วทันวจ พนักงานไลน์แมนอัธยาศัยดึ,5,FALSE,สะดวกดีพนักงานไลน์แมนอัธยาศัยดี,8/3/2021 3:46,???
รวดเร็วทันใจมาถูกที่โดยไม่ต้องโทถาม,5,FALSE,ไรเดอร์,7/3/2021 17:58,เชน เจะหลง
ดี,5,FALSE,ดี,7/3/2021 12:11,10ดี
สั่งประจำดึกๆหิวก็มาส่ง ค่าส่งราคาถูก พนักงานน่ารักพูดจาดี,5,FALSE,บริการดีชอบมาก,7/3/2021 9:35,SUN0faBeach
ติดตามความคืบหน้าสะดวก,5,FALSE,บุคลิกพนักงานดี ดูสะอาดน่าใช้บริการ,6/3/2021 11:16,khing_kat
พัฒนาแอปดีๆหน่อย เข้าระบบก็ไม่ได้ สั่งซื้อก็ไม่ได้,1,FALSE,แอปล่ม,7/3/2021 4:30,cececeo
กดสั่งอาหารไป แต่ไม่สามารถดูหน้าออดอร์ได้ เลยไม่รู้ว่าที่สั่งไป มันสั่งไปหรือยัง จะสั่งใหม่ก็กลัวจะซ้ำ ช่วยปรับปรุงด้วยค่ะ อุตส่าห์หนีจากแอพอื่นมาสั่งแอพนี้,3,FALSE,อัพเดตล่าสุดแล้วมีปัญหา,7/3/2021 4:19,pkanveudhcjsma
สั่งอาหารไปแล้ว ไม่ขึ้น ongoing ใด ๆ แถมหักเงินไปแล้ว ลบแอพโหลดใหม่ ล่าสุด log in ไม่ได้ ช่วยแก้ปัญหาด้วยจร้าา,1,FALSE,แอพ สู่ขิตแล้ว 1,7/3/2021 4:12,Femmea Denver
แอปมช้ไม่ได้ค่ะ ลบโหลดใหม่ เข้าออกหมดแล้ว,2,FALSE,แอปใช้ไม่ได้,7/3/2021 3:42,สุ่ยสุ่ย
คือกําลังจะสั่งตอนวันหยุดก็มาล่ม เเล้วจะกินอะไร,1,FALSE,เเอปล้ม,7/3/2021 3:25,Ij4961237
ค้าง ช้า คลิกอะไรก็หมุนค้างไม่ขึ้นรูป,1,FALSE,ค้าง ช้า คลิกอะไรก็หมุนค้างไม่ขึ้นรูป,7/3/2021 3:06,pleeeeeeeeeeeuuuuuu
หิวข้าวจะตาย มาให้อัพเดทเเอพ,1,FALSE,ตั้งเวลาอัพเดทเเอพเป็นเวลากลางคืนสิ,7/3/2021 1:08,benyatip ch
"ในบิลโทรศัพท์ยอดมัน 258 บาทเพราะลดไป 10 บาท
แต่ในบิลร้านอาหาร 268 ซึ้งมันไม่ตรงกับการสั่งของออนไลน์เลยงงว่ามันไม่ตรงกัน แต่คนส่งบริการดีเลยไม่ติดใจอะไร",4,FALSE,การจ่ายตัง,6/3/2021 14:00,ssssssjiyt
คนขับสุภาพครับ. เร็วด้วย. ดีมากๆครับทุกอย่าง,5,FALSE,การสั่งอาหารร้านป้าอ้วนข้าวขาหมู,6/3/2021 9:33,จุ๋มกชกร. แก้วศรี
ควรมีให้กดทิปคนขับในระบบโดยตัดบัตรครับ,5,FALSE,ควรมีให้กดทิปคนขับในระบบโดยตัดบัตร,6/3/2021 8:13,Borobo35
จัดส่งรวดเร็วทันใจมากค่ะ??,5,FALSE,ไลน์แมน,6/3/2021 7:46,ปูเป้บ้านสุพัฒน์กมล
ดีมาก,5,FALSE,ให้คะเเนน,6/3/2021 4:56,เจลเจล
ดี,5,FALSE,โอเค,6/3/2021 4:23,วาวา วาณิการ
บริการดีเยี่ยม,5,FALSE,บริการดีมาก,6/3/2021 3:54,แพร17
จัดส่งเร็ว พนักงานบริการสุภาพ,5,FALSE,จิรายุส,5/3/2021 20:59,วิวลี้
อาหารอร่อยมาก ของส่งตรงเวลา รวมคืออร่อยมากค่ะ??,5,FALSE,มะตะบะไก่,5/3/2021 17:49,ยากแม่มันแท้
Very good service. Helpful person.,5,FALSE,Good,5/3/2021 8:41,Shee15
อร่อยค่า,5,FALSE,คุณภาพดีค่ะ,4/3/2021 9:50,Nong supranee
คนขับเขาไม่รับรึอะไรหรอคะ รอนานมาก คนขับน้อยรึเขาไม่รับออเดอร์ หงุดหงิดค่ะ,3,FALSE,รอline man นานมาก,5/3/2021 5:49,แก้ไขนะคะ ปรับปรุงด้วย
เดวนี้ เอานักเลงมาส่งของด้วย ปากหมาชิบหาย,1,FALSE,คนส่งอาหารปากหมา  เอาไป ดาวเดียวพอ,5/3/2021 5:07,จีเอมตวายๆ
ไม่ถึง 3 กิโลด้วยซ้ำ ค่าส่ง 35 แน่ะ หลังๆหลายร้านที่อยู่ในระยะแต่เดิมค่าส่งฟรีหรือไม่เกิน 20 บาท ปัจจุบัน 39-50+ ทั้งนั้น จ.อยุธยา ถ้ายังแพงขี้นแบบนี้คงลบแอพแล้วล่ะ,3,FALSE,ค่าส่งแพงไป,4/3/2021 13:27,Wendy’s
บริการดีเยี่ยม ค่าส่งเป็นกันเองมากคับ,5,FALSE,บริการดี ค่าส่งถูก ชอบมากเลยคับ,4/3/2021 5:44,วสุวัตน์
สั่งง่าย ส่งเร็วมาก สะดวกสบายมากค่ะ,5,FALSE,ดีมากค่ะ,4/3/2021 5:06,ยัยเกด
ทำแอพมาได้ดีเลยค่ะ การใช้งานเข้าใจง่าย ชอบฟังชั่นที่เพิ่มคนละครึ่งกับเราชนะมาให้มากค่ะ เหมาะสำหรับคนที่อยากสั่งอาหารแต่ไม่อยากออกไปข้างนอกแล้วยังจ่ายผ่านโครงการอีกได้อีก พัฒนาต่อไปนะคะ,5,FALSE,การใช้งาน,4/3/2021 2:36,n_u_t
บริการดี พูดจาสุภาพ ส่งเร็วมาก,5,FALSE,Katty,3/3/2021 13:47,แคท 39
สบริการดี,5,FALSE,พนักงานดีสุภาพค่ะ,3/3/2021 5:13,หนูปู
น้ำซุปดำอร่อยมากค่ะ,5,FALSE,ชาบูววว,2/3/2021 8:32,ะอ้ยา
รับพนักงานขี้เกียจมาทำงาน อ้างบริษัทไม่ให้เข้าตึกเสี่ยง  ที่จอดรถไม่มี  ให้ลูกค้ารอโดยอ้างจะไปถึงเร็ว ... แต่ไม่เข้าใจว่า ทั้งไลน์แมนเอง และขนส่งเจ้าอื่นๆ ส่งของกันเต็มไปหมด ... ควรปฏิบัติให้เป็นมาตรฐานเดียวกัน (คุยกับเพื่อนบ้างเนาะ),1,FALSE,พนักงานไม่มีใจบริการ,2/3/2021 10:52,blackspiderz
น้องไลน์แมนสุภาพน่ารักค่ะ,5,FALSE,น้องไลน์แทนสุภาพน่ารักค่ะ,2/3/2021 7:54,นูรินา
มีให้ใช้เราชนะได้ดีมาหเลยค่ะ,5,FALSE,สะดวกสบาย,2/3/2021 4:47,หมูมิ้ว
รวดเร็ใ,5,FALSE,บริการดี ยิ้มแย้ม รวดเร็ว ตรงตามที่สั่ง,1/3/2021 19:41,wat1667
มันร่มเข้าไม่ได้หิวด้วยครับเริ่มโมโหหิวแล้วน่ะรีบๆแก้ไขด้วยน่ะครับกำลังหิว,5,FALSE,ระบบเป็นไรครับ,1/3/2021 17:26,Moriskim
บริการดี คนขับสุภาพ อาหารถูกต้อง จัดส่งในเวลารวดเร็ว,5,FALSE,บริการดี คนขับสุภาพ อาหารถูกต้อง จัดส่งในเวลารวดเร็ว,1/3/2021 13:24,จูน ณัฐจารวี
คุณลุงกะคุณป้าน่ารักมากมาส่งสองคนเลย????????,5,FALSE,??,1/3/2021 7:35,zotus_wns
บริการดีถูกใจมาก,5,FALSE,อเมซอน,1/3/2021 3:35,nutput1028
คนขับสุภาพมากพูดจากดี เเต่อาหารรสชาติเเย่ไม่อร่อยจืดหมูก็เเอบมีกลิ่นเหม็นๆ เเล้วสั่งข้างผัดเหมือยได้ต้มผัดน้ำมันคือน้ำมันเยอะมาก เหมือนกินข้าวกับน้ำมัน เเล้วที่รับไม่ได้เลยคือรสชาติจืดมากเเย่มาก ขนาดใส่ทั้งมะนาวน้ำปลาหมดถุงยังไม่ได้ถึงรสชาติ จืดยิ่งกว่าน้ำเปล่า หมาไม่เเดก จะเป็นรอบสุดท้ายที่สั่งค่ะ (นี่ด่าร้ายอาหารนะคะ ส่งนตัวเรื่องคนขับการส่งดีค่ะ) พูดจาดี ส่งไว,5,FALSE,อาหารรสชาติเเย่ชิบหาย,28/2/2021 16:51,จืดกว่าน้ำเปล่าก็น้ำผัดร้านนี้
คนขับสุภาพดีค่ะ พูดเพราะ ส่งเร็ว อาหารถูกต้องตามที่สั่งค่ะ,5,FALSE,????,28/2/2021 16:12,กันติยา(เก้า)
